Dato for oprettelse;Dato for afslutning;Indbetalt;Rest;Total;Antal Passagerer;Betalt til klient;Klient rest;betingelser;Jnr.;Flynr.;Fly Selskab
26/02/2018 09.38;21/06/2018 09.10;5.586,00;0;5.586,00;3;4.350,00;0;;;2552;HOP!
26/02/2018 10.28;02/08/2018 10.06;0;18.427,03;18.427,03;3;0;6.525,00;1;86036;2553;Emirates
26/02/2018 11.02;;0;8.535,30;8.535,30;2;0;2.860,00;1;86035;2554;Ryan Air Service
26/02/2018 11.46;27/02/2018 13.17;0;8.930,00;8.930,00;2;0;6.970,00;;;2555;KLM Royal Dutch Airlines
26/02/2018 11.51;;0;12.518,02;12.518,02;2;0;4.350,00;1;86034;2556;Air France
26/02/2018 12.03;;0;12.518,02;12.518,02;2;0;4.350,00;1;86033;2557;KLM Royal Dutch Airlines
26/02/2018 13.08;;0;1.860,00;1.860,00;1;0;1.450,00;;86032;2558;Lufthansa
26/02/2018 13.19;19/03/2018 17.59;0;2.975,00;2.975,00;1;0;2.325,00;;;2559;Aeroflot Russian Airlines
26/02/2018 13.43;;0;4.539,43;4.539,43;1;0;2.325,00;;84646;2560;Norwegian Air Shuttle
26/02/2018 14.27;;0;12.502,95;12.502,95;3;0;4.290,00;1;86031;2561;DAT Danish Air Transport
26/02/2018 19.28;;0;3.186,82;3.186,82;1;0;907,5;1;84825;2562;Norwegian Air Shuttle
26/02/2018 21.12;;0;6.706,05;6.706,05;1;0;2.175,00;1;86030;2563;British Airways
26/02/2018 21.13;23/04/2018 15.10;5.960,00;0;5.960,00;2;4.650,00;0;;86029;2564;Thomas Cook Airlines
26/02/2018 21.46;19/03/2018 17.54;0;8.930,00;8.930,00;2;0;6.970,00;;;2565;Aeroflot Russian Airlines
26/02/2018 22.01;;0;12.934,09;12.934,09;5;0;7.250,00;;84912;2566;Scandinavian Airlines System
26/02/2018 22.04;;0;5.793,33;5.793,33;2;0;1.815,00;1;88402;2567;Air Dolomiti
27/02/2018 09.12;;0;23.936,03;23.936,03;4;0;8.700,00;1;86028;2568;Lufthansa
27/02/2018 09.38;06/09/2018 17.49;22.988,00;0;22.988,00;5;10.875,00;0;1;86027;2569;Icelandair
27/02/2018 10.32;20/04/2018 13.05;8.900,44;131,53;9.031,97;2;6.970,00;0;;86026;2570;TUIfly
27/02/2018 12.02;12/03/2018 09.02;3.673,45;46,55;3.720,00;2;2.900,00;0;;;2571;EasyJet
27/02/2018 13.05;;0;18.427,03;18.427,03;3;0;10.455,00;;86025;2572;KLM Royal Dutch Airlines
27/02/2018 13.31;;0;10.361,51;10.361,51;2;0;4.350,00;1;86024;2573;Thomas Cook Airlines
27/02/2018 14.34;;0;10.686,66;10.686,66;4;0;3.630,00;1;86023;2574;Lufthansa CityLine
27/02/2018 15.57;18/07/2018 13.59;2.981,00;0;2.981,00;1;2.325,00;0;;;2575;Thomas Cook Airlines
27/02/2018 16.08;;0;18.427,03;18.427,03;3;0;6.525,00;1;86102;2576;Thomas Cook Airlines
27/02/2018 16.09;;0;34.954,05;34.954,05;6;0;20.910,00;;86021;2577;Condor Flugdienst
27/02/2018 16.14;;0;4.567,65;4.567,65;1;0;1.430,00;1;86020;2578;Austrian Airlines
27/02/2018 16.21;;0;16.170,59;16.170,59;4;0;5.720,00;1;86019;2579;Wizz Air Hungary
27/02/2018 16.53;;0;12.518,02;12.518,02;2;0;4.350,00;1;86103;2580;Thomas Cook Airlines Scandinavia
27/02/2018 17.39;25/07/2018 13.36;3.720,00;0;3.720,00;2;2.900,00;0;;86018;2581;BRUSSELS AIRLINES
27/02/2018 17.59;;0;7.381,51;7.381,51;2;0;2.860,00;1;86017;2582;Thomas Cook Airlines Scandinavia
27/02/2018 18.34;;0;29.415,50;29.415,50;5;0;10.875,00;1;86104;2583;Vietnam Airlines
27/02/2018 19.45;;0;8.547,11;8.547,11;2;0;4.650,00;;86827;2584;Primera Air Scandinavia A/S
27/02/2018 20.25;;0;12.506,20;12.506,20;2;0;4.350,00;1;86100;2585;Air France
27/02/2018 21.41;;0;8.527,42;8.527,42;2;0;2.860,00;1;86099;2586;Wow Air
28/02/2018 07.05;21/06/2018 09.11;13.395,00;0;13.395,00;3;10.455,00;0;;86540;2587;TUIfly
28/02/2018 10.36;;0;8.522,17;8.522,17;2;0;2.860,00;1;86541;2588;Corendon Airlines
28/02/2018 10.49;;0;12.506,20;12.506,20;2;0;4.350,00;1;86098;2589;Thomas Cook Airlines
28/02/2018 11.44;;0;8.930,00;8.930,00;2;0;4.350,00;1;84902;2590;Norwegian Air Shuttle
28/02/2018 12.31;15/06/2018 14.17;25.753,70;0;25.753,70;5;10.875,00;0;1;85666;2591;Aeroflot Russian Airlines
28/02/2018 13.38;16/04/2018 08.58;4.470,00;0;4.470,00;1;3.485,00;0;;;2592;KLM Royal Dutch Airlines
28/02/2018 13.47;;0;23.912,40;23.912,40;4;0;8.700,00;1;86097;2593;United Airlines
28/02/2018 13.49;;0;3.184,36;3.184,36;1;0;1.450,00;;85001;2594;Norwegian Air Shuttle
28/02/2018 13.51;;0;3.194,20;3.194,20;1;0;1.450,00;;86096;2595;Ryan Air Service
28/02/2018 15.19;03/09/2018 09.33;8.935,93;94,07;9.030,00;2;6.970,00;0;;86095;2596;BRUSSELS AIRLINES
28/02/2018 15.45;;0;12.506,20;12.506,20;2;0;6.970,00;;86094;2597;KLM Royal Dutch Airlines
28/02/2018 15.50;16/04/2018 08.58;8.931,11;0;8.931,11;2;6.970,00;0;;;2598;Norwegian Air Shuttle
28/02/2018 16.39;02/08/2018 16.13;13.342,00;0;13.342,00;3;10.455,00;0;;86229;2599;Lufthansa
28/02/2018 16.51;03/08/2018 09.15;0;12.504,23;12.504,23;2;0;4.350,00;1;86230;2600;Emirates
28/02/2018 19.02;;0;3.193,79;3.193,79;1;0;1.450,00;;86232;2601;Wizz Air Hungary
28/02/2018 20.07;19/04/2018 09.02;4.471,00;0;4.471,00;1;3.485,00;0;;;2602;Air France
28/02/2018 23.04;;0;12.504,23;12.504,23;2;0;6.970,00;;86227;2603;Condor Flugdienst
28/02/2018 23.34;25/04/2018 13.03;4.465,71;0;4.465,71;2;3.465,71;0;;;2604;Norwegian Air Shuttle
01/03/2018 09.22;02/05/2018 13.30;5.960,72;0;5.960,72;2;4.650,00;0;;86828;2605;Jet Time A/S
01/03/2018 10.27;;0;18.406,35;18.406,35;3;0;10.455,00;;86240;2606;Thomas Cook Airlines Scandinavia
01/03/2018 11.02;;0;14.428,39;14.428,39;4;0;9.300,00;;86231;2607;Primera Air Scandinavia A/S
01/03/2018 11.20;;0;12.504,23;12.504,23;2;0;4.350,00;1;86241;2608;Thomas Cook Airlines Scandinavia
01/03/2018 11.37;01/03/2018 13.06;0;1.860,00;1.860,00;1;0;1.450,00;;;2609;Scandinavian Airlines System
01/03/2018 12.23;;0;1.860,00;1.860,00;1;0;1.450,00;;;2610;BRUSSELS AIRLINES
01/03/2018 13.51;06/09/2018 13.42;0;6.702,12;6.702,12;1;0;3.485,00;;86242;2611;Primera Air Scandinavia A/S
01/03/2018 13.55;16/04/2018 11.11;0;9.030,00;9.030,00;2;0;6.970,00;;86246;2612;TUIfly
01/03/2018 14.03;;0;12.504,23;12.504,23;2;0;4.350,00;1;86243;2613;Thomas Cook Airlines Scandinavia
01/03/2018 14.06;;0;12.506,20;12.506,20;2;0;4.350,00;1;86093;2614;Thomas Cook Airlines Scandinavia
01/03/2018 16.12;04/05/2018 08.12;0;10.443,79;10.443,79;2;0;6.970,00;;85326;2615;Thomas Cook Airlines Scandinavia
01/03/2018 16.35;06/03/2018 11.41;0;7.440,00;7.440,00;4;0;5.800,00;;;2616;Alitalia Express
01/03/2018 17.02;06/03/2018 12.05;0;8.920,00;8.920,00;4;0;6.920,00;;;2617;Alitalia Express
01/03/2018 17.37;;0;12.502,26;12.502,26;2;0;4.350,00;1;86248;2618;Iberia
01/03/2018 18.05;25/04/2018 13.14;1.861,64;0;1.861,64;1;1.450,00;0;;86255;2619;CityJet
01/03/2018 18.11;26/03/2018 10.35;1.861,00;0;1.861,00;1;1.450,00;0;;;2620;Scandinavian Airlines System
01/03/2018 18.59;;0;16.149,60;16.149,60;4;0;5.720,00;1;86267;2621;Norwegian Air Shuttle
01/03/2018 20.01;06/09/2018 13.42;0;12.506,20;12.506,20;2;0;6.970,00;;86092;2622;Primera Air Scandinavia A/S
01/03/2018 20.31;;0;5.788,41;5.788,41;2;0;1.815,00;1;86091;2623;EasyJet
01/03/2018 21.25;;0;57.402,22;57.402,22;10;0;34.850,00;;86542;2624;Thomas Cook Airlines Scandinavia
01/03/2018 22.38;;0;12.504,23;12.504,23;2;0;4.350,00;1;86265;2625;Thomas Cook Airlines
01/03/2018 22.47;;0;12.504,23;12.504,23;2;0;4.350,00;1;86249;2626;Thomas Cook Airlines Scandinavia
02/03/2018 08.12;24/04/2018 14.31;0;7.063,12;7.063,12;2;0;4.650,00;;86090;2627;Norwegian Air Shuttle
02/03/2018 08.22;05/03/2018 10.41;0;5.950,00;5.950,00;2;0;4.650,00;;;2628;Norwegian Air Shuttle
02/03/2018 08.38;06/09/2018 16.07;4.475,00;0;4.475,00;1;2.175,00;0;1;;2629;Scandinavian Airlines System
02/03/2018 10.21;13/04/2018 09.13;5.952,00;98;6.050,00;2;4.650,00;0;;86088;2630;Scandinavian Airlines System
02/03/2018 10.52;;0;12.498,32;12.498,32;2;0;4.350,00;1;86382;2631;Thomas Cook Airlines Scandinavia
02/03/2018 11.59;25/05/2018 10.08;3.723,76;0;3.723,76;2;2.900,00;0;;86087;2633;CityJet
02/03/2018 13.29;;100;12.404,23;12.504,23;2;100;4.250,00;1;86266;2634;Thomas Cook Airlines Scandinavia
02/03/2018 14.39;;0;4.561,09;4.561,09;1;0;1.430,00;1;86543;2635;EasyJet
02/03/2018 17.31;20/08/2018 13.04;1.861,64;0;1.861,64;1;1.450,00;0;;;2637;BRUSSELS AIRLINES
02/03/2018 17.51;08/06/2018 12.49;0;8.527,42;8.527,42;2;0;4.650,00;;86086;2638;Norwegian Air Shuttle
02/03/2018 21.28;;0;5.788,41;5.788,41;2;0;1.815,00;1;86085;2639;Norwegian Air Shuttle
02/03/2018 22.16;;0;3.193,38;3.193,38;1;0;1.450,00;;86272;2640;Ryan Air Service
03/03/2018 06.16;;0;1.860,00;1.860,00;1;0;1.450,00;;;2641;Air France
03/03/2018 06.20;;0;30.815,29;30.815,29;15;0;21.750,00;;86271;2642;BRUSSELS AIRLINES
03/03/2018 06.22;12/04/2018 10.02;1.863,00;0;1.863,00;1;1.450,00;0;;;2643;HOP!
03/03/2018 06.27;;0;1.860,00;1.860,00;1;0;907,5;1;;2644;BRUSSELS AIRLINES
03/03/2018 07.52;25/05/2018 09.13;9.040,00;0;9.040,00;3;6.975,00;0;;86829;2645;Thomas Cook Airlines
03/03/2018 10.01;20/04/2018 08.37;1.860,00;100;1.960,00;1;1.450,00;0;;86276;2646;Scandinavian Airlines System
03/03/2018 10.18;;0;5.786,76;5.786,76;2;0;1.815,00;1;86277;2647;KLM Cityhopper
03/03/2018 11.08;;0;8.547,11;8.547,11;2;0;2.860,00;1;86830;2648;Corendon Airlines
03/03/2018 11.14;07/05/2018 17.11;0;5.578,79;5.578,79;1;0;3.485,00;;86278;2649;Scandinavian Airlines System
03/03/2018 11.14;25/07/2018 13.36;5.956,00;94;6.050,00;2;4.650,00;0;;86084;2650;Scandinavian Airlines System
03/03/2018 14.16;;0;3.186,82;3.186,82;1;0;907,5;1;85734;2651;KLM Royal Dutch Airlines
03/03/2018 14.18;22/03/2018 11.28;0;1.860,00;1.860,00;1;0;1.450,00;;;2652;KLM Royal Dutch Airlines
03/03/2018 14.39;;0;7.540,00;7.540,00;4;0;3.630,00;1;86275;2653;KLM Cityhopper
03/03/2018 15.13;;0;6.679,47;6.679,47;1;0;2.175,00;1;84827;2654;Norwegian Air Shuttle
03/03/2018 15.20;;0;3.193,38;3.193,38;1;0;907,5;1;86279;2655;Austrian Airlines
03/03/2018 15.44;16/04/2018 08.58;8.931,11;0;8.931,11;2;6.970,00;0;;;2656;Norwegian Air Shuttle
03/03/2018 15.49;;0;18.406,35;18.406,35;3;0;6.525,00;1;86280;2657;Thomas Cook Airlines Scandinavia
03/03/2018 15.56;;0;12.504,23;12.504,23;2;0;4.350,00;1;86281;2658;Thomas Cook Airlines Scandinavia
03/03/2018 17.53;16/04/2018 08.58;4.465,55;0;4.465,55;1;3.485,00;0;;;2659;Norwegian Air Shuttle
03/03/2018 18.03;27/03/2018 08.42;1.809,14;50,86;1.860,00;1;1.450,00;0;;;2660;Norwegian Air Shuttle
03/03/2018 18.46;;0;5.827,48;5.827,48;1;0;3.485,00;;86282;2661;SAS
03/03/2018 20.16;;0;4.565,00;4.565,00;1;0;2.175,00;1;85769;2662;Air India Express
03/03/2018 20.25;12/07/2018 09.39;0;3.193,38;3.193,38;1;0;1.450,00;;86283;2663;BRUSSELS AIRLINES
03/03/2018 20.28;;0;8.078,92;8.078,92;3;0;2.722,50;1;86545;2664;Scandinavian Airlines System
04/03/2018 08.57;;0;12.498,32;12.498,32;2;0;4.350,00;1;86547;2665;Aeroflot Russian Airlines
04/03/2018 10.38;19/09/2018 14.41;0;12.506,20;12.506,20;2;0;6.970,00;;86083;2666;Primera Air Scandinavia A/S
04/03/2018 11.26;19/09/2018 14.38;0;12.506,20;12.506,20;2;0;6.970,00;;86082;2667;Primera Air Scandinavia A/S
04/03/2018 11.52;;0;23.896,64;23.896,64;4;0;8.700,00;1;86476;2668;Thomas Cook Airlines Scandinavia
04/03/2018 12.04;;0;12.498,32;12.498,32;2;0;4.350,00;1;86548;2669;Norwegian Air Shuttle
04/03/2018 12.24;;0;4.562,40;4.562,40;1;0;1.430,00;1;86268;2670;KLM Cityhopper
04/03/2018 12.38;;0;2.828,51;2.828,51;1;0;1.450,00;;86081;2671;SAS
04/03/2018 12.40;;0;3.193,38;3.193,38;1;0;907,5;1;86284;2672;KLM Royal Dutch Airlines
04/03/2018 12.57;;0;5.786,76;5.786,76;2;0;1.815,00;1;86285;2673;Scandinavian Airlines System
04/03/2018 14.01;;0;4.565,00;4.565,00;1;0;3.485,00;;86286;2674;Lufthansa
04/03/2018 16.21;01/05/2018 10.56;2.980,00;0;2.980,00;1;2.325,00;0;;;2675;Thomas Cook Airlines
04/03/2018 17.39;;0;8.495,93;8.495,93;2;0;2.860,00;1;84901;2676;Norwegian Air Shuttle
04/03/2018 18.07;;0;10.673,53;10.673,53;4;0;3.630,00;1;86287;2677;LOT Polish Airlines
04/03/2018 19.47;03/05/2018 13.58;1.861,00;0;1.861,00;1;1.450,00;0;;86288;2678;Scandinavian Airlines System
04/03/2018 19.53;;0;29.410,58;29.410,58;5;0;17.425,00;;86289;2679;TUIfly
04/03/2018 19.53;;0;4.465,00;4.465,00;1;0;3.485,00;;;2680;Lufthansa
04/03/2018 19.58;13/04/2018 11.08;0;22.434,85;22.434,85;5;0;17.425,00;;86551;2681;TUIfly
04/03/2018 20.02;11/06/2018 13.20;8.888,00;2.272,26;11.160,26;2;6.970,00;0;;86290;2682;Lufthansa
04/03/2018 20.28;25/05/2018 10.18;13.411,00;0;13.411,00;3;10.455,00;0;;86552;2683;Aeroflot Russian Airlines
04/03/2018 20.28;06/03/2018 13.21;0;6.690,00;6.690,00;3;0;5.190,00;;;2684;TUIfly
04/03/2018 20.35;06/03/2018 13.21;0;6.690,00;6.690,00;3;0;5.190,00;;;2685;TUIfly
04/03/2018 20.57;06/03/2018 16.50;0;17.860,00;17.860,00;4;0;13.940,00;;;2686;Air Berlin
04/03/2018 21.32;;0;29.410,58;29.410,58;5;0;10.875,00;1;86291;2687;British Airways
04/03/2018 21.39;16/04/2018 08.58;8.940,00;0;8.940,00;2;6.970,00;0;;;2688;Delta Air Lines Inc.
05/03/2018 00.12;;0;3.194,20;3.194,20;1;0;907,5;1;86080;2689;Air France
05/03/2018 08.14;;0;1.960,00;1.960,00;1;0;907,5;1;86292;2690;Air France
05/03/2018 09.59;;0;12.489,17;12.489,17;3;0;4.290,00;1;86293;2691;DAT Danish Air Transport
05/03/2018 10.21;;0;3.193,79;3.193,79;1;0;907,5;1;86294;2692;Lufthansa CityLine
05/03/2018 10.44;19/09/2018 14.37;0;12.506,20;12.506,20;2;0;6.970,00;;86079;2693;Primera Air Scandinavia A/S
05/03/2018 11.35;27/07/2018 11.56;9.030,00;0;9.030,00;2;6.970,00;0;;86553;2694;TUIfly
05/03/2018 12.04;17/04/2018 08.16;5.959,00;0;5.959,00;2;4.650,00;0;;;2695;Thomas Cook Airlines
05/03/2018 13.05;;0;5.786,76;5.786,76;2;0;2.900,00;;86295;2696;Ryan Air Service
05/03/2018 13.15;;0;18.397,48;18.397,48;3;0;6.525,00;1;86554;2697;Smartlynx Airlines
05/03/2018 13.25;;9.312,50;1.847,50;11.160,00;6;8.700,00;0;;;2698;Lufthansa
05/03/2018 13.39;19/06/2018 10.33;0;3.193,79;3.193,79;1;0;1.450,00;;86297;2699;Scandinavian Airlines System
05/03/2018 13.43;;0;12.498,32;12.498,32;2;0;4.350,00;1;86555;2700;Smartlynx Airlines
05/03/2018 14.41;07/05/2018 17.24;1.865,00;511,15;2.376,15;1;1.450,00;0;;86298;2701;Scandinavian Airlines System
05/03/2018 15.25;;0;3.193,79;3.193,79;1;0;907,5;1;86299;2702;Lufthansa
05/03/2018 16.03;;0;4.563,06;4.563,06;1;0;2.325,00;;86300;2703;BA CityFlyer
05/03/2018 16.08;05/04/2018 13.13;5.268,00;682;5.950,00;2;4.650,00;0;;;2704;Thomas Cook Airlines Scandinavia
05/03/2018 16.36;;0;18.451,15;18.451,15;6;0;10.380,00;;86301;2705;Kenya Airways
05/03/2018 17.10;30/04/2018 09.20;1.861,64;0;1.861,64;1;1.450,00;0;;;2706;BRUSSELS AIRLINES
05/03/2018 17.17;12/04/2018 10.18;4.570,00;0;4.570,00;1;3.485,00;0;;86302;2707;Scandinavian Airlines System
05/03/2018 17.42;;0;8.516,93;8.516,93;2;0;2.860,00;1;86556;2708;Corendon Airlines
05/03/2018 17.46;;0;12.504,23;12.504,23;2;0;4.350,00;1;86303;2709;British Airways
05/03/2018 17.50;;0;12.504,23;12.504,23;2;0;4.350,00;1;86304;2710;British Airways
05/03/2018 18.58;16/04/2018 08.58;13.409,05;0;13.409,05;3;10.455,00;0;;;2711;Norwegian Air Shuttle
05/03/2018 19.12;;0;6.702,12;6.702,12;1;0;2.175,00;1;86306;2712;KLM Cityhopper
05/03/2018 20.25;;0;6.709,01;6.709,01;1;0;3.485,00;;87129;2713;Air France
06/03/2018 08.56;05/04/2018 10.22;11.125,00;35;11.160,00;6;8.700,00;0;;;2714;EasyJet
06/03/2018 09.32;;0;18.400,44;18.400,44;3;0;6.525,00;1;86557;2715;Air France
06/03/2018 10.06;;0;34.894,97;34.894,97;6;0;13.050,00;1;86558;2716;Smartlynx Airlines
06/03/2018 11.15;;0;8.515,61;8.515,61;2;0;2.860,00;1;86339;2717;Pegasus Airlines
06/03/2018 11.17;;0;5.428,47;5.428,47;1;0;2.175,00;1;86305;2718;SAS
06/03/2018 11.56;;0;8.526,11;8.526,11;2;0;2.860,00;1;86307;2719;Royal Jordanian
06/03/2018 12.16;;0;3.182,72;3.182,72;1;0;907,5;1;85077;2720;Norwegian Air Shuttle
06/03/2018 12.37;19/09/2018 13.10;0;3.193,79;3.193,79;1;0;907,5;1;86308;2721;DAT Danish Air Transport
06/03/2018 13.29;;0;4.562,40;4.562,40;1;0;2.325,00;;86309;2722;TAP Portugal
06/03/2018 14.11;;0;18.403,39;18.403,39;3;0;10.455,00;;86310;2723;Thomas Cook Airlines
06/03/2018 15.12;;0;6.701,13;6.701,13;1;0;2.175,00;1;86239;2724;Air France
06/03/2018 15.16;27/07/2018 12.18;3.723,76;0;3.723,76;2;2.900,00;0;;;2725;BRUSSELS AIRLINES
06/03/2018 15.19;;0;5.786,76;5.786,76;2;0;1.815,00;1;86311;2726;Ryan Air Service
06/03/2018 15.21;;0;5.781,84;5.781,84;2;0;1.815,00;1;86559;2727;Swiss Global Air Lines
06/03/2018 15.40;;0;5.786,76;5.786,76;2;0;1.815,00;1;86318;2728;KLM Royal Dutch Airlines
06/03/2018 15.52;;0;5.786,76;5.786,76;2;0;1.815,00;1;86314;2729;Ryan Air Service
06/03/2018 17.15;;0;8.524,80;8.524,80;2;0;2.860,00;1;86315;2730;Wizz Air Hungary
06/03/2018 18.28;19/06/2018 10.38;0;12.966,91;12.966,91;5;0;7.250,00;;86313;2731;Austrian Airlines
06/03/2018 19.17;;0;12.485,23;12.485,23;3;0;6.975,00;;86560;2732;Iberia Express
06/03/2018 19.21;;0;3.193,38;3.193,38;1;0;1.450,00;;86316;2733;KLM Royal Dutch Airlines
06/03/2018 19.27;16/04/2018 08.58;1.863,00;0;1.863,00;1;1.450,00;0;;;2734;KLM Cityhopper
06/03/2018 20.01;01/08/2018 09.26;7.485,00;0;7.485,00;1;907,5;0;1;86317;2735;Scandinavian Airlines System
06/03/2018 21.14;;0;4.562,40;4.562,40;1;0;1.430,00;1;86247;2736;KLM Royal Dutch Airlines
06/03/2018 21.32;12/04/2018 10.54;2.232,00;0;2.232,00;1;1.742,10;0;;;2737;Scandinavian Airlines System
07/03/2018 08.49;21/06/2018 11.20;0;5.785,94;5.785,94;2;0;2.900,00;;86561;2738;EasyJet
07/03/2018 09.20;;0;3.192,97;3.192,97;1;0;1.450,00;;86562;2739;Scandinavian Airlines System
07/03/2018 09.25;;0;8.523,49;8.523,49;2;0;2.860,00;1;86563;2740;Norwegian Air Shuttle
07/03/2018 09.46;15/03/2018 17.34;0;7.440,00;7.440,00;4;0;5.800,00;;;2741;Air Berlin
07/03/2018 09.54;15/03/2018 17.33;0;7.440,00;7.440,00;4;0;5.800,00;;;2742;Air Berlin
07/03/2018 10.20;;0;3.192,97;3.192,97;1;0;907,5;1;86564;2743;Bmi Regional
07/03/2018 10.26;;0;3.192,97;3.192,97;1;0;907,5;1;86565;2744;Bmi Regional
07/03/2018 11.47;;0;8.516,93;8.516,93;2;0;2.860,00;1;86566;2745;Corendon Airlines
07/03/2018 12.05;;0;5.950,00;5.950,00;2;0;4.650,00;;85150;2746;Norwegian Air Shuttle
07/03/2018 12.29;11/04/2018 09.56;1.863,00;0;1.863,00;1;1.450,00;0;;;2747;Scandinavian Airlines System
07/03/2018 12.58;;0;23.900,58;23.900,58;4;0;8.700,00;1;86567;2748;Smartlynx Airlines
07/03/2018 13.20;;0;3.820,00;3.820,00;2;0;1.815,00;1;85075;2749;Norwegian Air Shuttle
07/03/2018 14.28;;0;8.523,49;8.523,49;2;0;2.860,00;1;86568;2750;Austrian Airlines
07/03/2018 14.58;;0;4.880,15;4.880,15;1;0;2.325,00;;86569;2751;Norwegian Air Shuttle
07/03/2018 15.09;;0;6.709,01;6.709,01;1;0;3.485,00;;88403;2752;Qatar Airways
07/03/2018 16.03;16/04/2018 08.58;1.863,00;0;1.863,00;1;1.450,00;0;;;2753;KLM Cityhopper
07/03/2018 17.14;;0;8.516,93;8.516,93;2;0;2.860,00;1;86570;2754;Corendon Airlines
07/03/2018 18.24;12/03/2018 16.07;0;8.930,00;8.930,00;2;0;6.970,00;;;2755;Smartlynx Airlines
07/03/2018 18.31;14/05/2018 09.53;5.579,00;4,71;5.583,71;1;3.485,00;0;;86571;2756;TUIfly
07/03/2018 18.32;;0;18.400,44;18.400,44;3;0;6.525,00;1;86572;2757;Norwegian Air Shuttle
07/03/2018 19.57;;0;3.922,55;3.922,55;2;0;2.900,00;;86573;2758;SAS
07/03/2018 21.48;16/04/2018 08.58;4.465,55;0;4.465,55;1;3.485,00;0;;;2759;Norwegian Air Shuttle
07/03/2018 23.17;27/03/2018 11.55;5.959,00;0;5.959,00;2;4.650,00;0;;;2760;Thomas Cook Airlines
08/03/2018 09.13;;0;12.451,05;12.451,05;2;0;6.970,00;;85324;2761;AIR CANADA
08/03/2018 10.28;19/09/2018 14.37;0;12.498,32;12.498,32;2;0;6.970,00;;86574;2762;Primera Air Scandinavia A/S
08/03/2018 10.40;;0;5.785,12;5.785,12;2;0;2.900,00;;86575;2763;Ryan Air Service
08/03/2018 10.43;08/03/2018 16.15;0;3.720,00;3.720,00;2;0;2.900,00;;;2764;Ryan International Airlines
08/03/2018 11.31;;0;8.522,17;8.522,17;2;0;2.860,00;1;86576;2765;KLM Cityhopper
08/03/2018 11.54;;0;3.182,72;3.182,72;1;0;907,5;1;85076;2766;Norwegian Air Shuttle
08/03/2018 11.55;25/07/2018 13.40;4.415,55;49,45;4.465,00;1;3.485,00;0;;87853;2767;Norwegian Air Shuttle
08/03/2018 12.37;;0;8.072,76;8.072,76;3;0;2.722,50;1;86577;2768;British Airways
08/03/2018 13.02;;0;8.516,93;8.516,93;2;0;2.860,00;1;86578;2769;TAP Portugal
08/03/2018 13.05;;0;6.700,15;6.700,15;1;0;2.175,00;1;86579;2770;Finnair
08/03/2018 13.29;;0;8.516,93;8.516,93;2;0;2.860,00;1;86580;2771;Corendon Airlines
08/03/2018 14.36;12/09/2018 09.19;8.942,00;1.801,33;10.743,33;2;6.970,00;0;;85642;2772;KLM Royal Dutch Airlines
08/03/2018 15.42;;0;12.443,18;12.443,18;2;0;4.350,00;1;85364;2773;Thomas Cook Airlines
08/03/2018 15.56;;0;5.785,94;5.785,94;2;0;2.900,00;;86581;2774;Ryan Air Service
08/03/2018 16.03;;0;12.500,29;12.500,29;2;0;6.970,00;;86582;2775;EasyJet
08/03/2018 20.32;26/04/2018 15.09;3.724,00;96;3.820,00;2;2.900,00;0;;86583;2776;HOP!
08/03/2018 20.37;;0;12.498,32;12.498,32;2;0;4.350,00;1;86383;2777;Thomas Cook Airlines Scandinavia
08/03/2018 21.51;18/07/2018 11.31;0;12.498,32;12.498,32;2;0;6.970,00;;86584;2778;British Airways
09/03/2018 08.32;;0;3.192,56;3.192,56;1;0;907,5;1;86585;2779;KLM Cityhopper
09/03/2018 10.44;27/07/2018 12.18;1.863,54;0;1.863,54;1;1.450,00;0;;;2780;BRUSSELS AIRLINES
09/03/2018 11.44;;0;8.516,93;8.516,93;2;0;2.860,00;1;86586;2781;DAT Danish Air Transport
09/03/2018 12.31;;0;8.288,62;8.288,62;2;0;4.650,00;;86587;2782;Primera Air Scandinavia A/S
09/03/2018 12.52;22/03/2018 09.24;1.861,00;0;1.861,00;1;1.450,00;0;;;2783;Scandinavian Airlines System
09/03/2018 13.05;;0;8.547,11;8.547,11;2;0;2.860,00;1;86831;2784;DAT Danish Air Transport
09/03/2018 13.54;;0;3.190,92;3.190,92;1;0;1.450,00;;86588;2785;HOP!
09/03/2018 14.05;;0;5.781,84;5.781,84;2;0;1.815,00;1;86589;2786;Vueling Airlines
09/03/2018 14.09;;0;4.567,65;4.567,65;1;0;2.325,00;;87095;2787;Lufthansa CityLine
09/03/2018 14.19;;0;10.663,68;10.663,68;4;0;5.800,00;;86161;2788;EasyJet
09/03/2018 14.36;;0;8.547,11;8.547,11;2;0;2.860,00;1;86832;2789;Corendon Airlines
09/03/2018 16.03;;0;3.190,92;3.190,92;1;0;907,5;1;86590;2790;KLM Royal Dutch Airlines
09/03/2018 18.05;19/09/2018 14.36;0;18.385,67;18.385,67;3;0;10.455,00;;86591;2791;Primera Air Scandinavia A/S
09/03/2018 18.21;10/08/2018 13.18;0;8.484,12;8.484,12;2;0;2.860,00;1;85557;2792;Norwegian Air Shuttle
09/03/2018 19.05;19/04/2018 09.02;1.863,00;0;1.863,00;1;1.450,00;0;;;2793;Air France
09/03/2018 19.08;;0;12.533,77;12.533,77;2;0;4.350,00;1;86833;2794;Air France
09/03/2018 19.29;;0;5.781,84;5.781,84;2;0;1.815,00;1;86592;2795;KLM Cityhopper
