Dato for oprettelse;Dato for afslutning;Indbetalt;Rest;Total;Antal Passagerer;Betalt til klient;Klient rest;betingelser;Jnr.;Flynr.;Fly Selskab
05/08/2018 11.48;;0;6.060,50;6.060,50;2;0;4.650,00;;97673;7907;Thomas Cook Airlines Scandinavia
05/08/2018 11.58;;0;3.720,00;3.720,00;2;0;2.900,00;;94410;7908;Norwegian Air Shuttle
05/08/2018 12.03;;0;9.032,87;9.032,87;3;0;6.975,00;;96799;7909;Corendon Airlines
05/08/2018 12.20;22/09/2018 13.09;0;1.860,00;1.860,00;1;0;1.450,00;;;7910;EasyJet
05/08/2018 12.25;;0;11.900,00;11.900,00;4;0;9.300,00;;;7911;Czech Airlines
05/08/2018 12.30;;0;3.720,00;3.720,00;2;0;2.900,00;;98212;7912;Ryan Air Service
05/08/2018 12.41;;0;12.010,50;12.010,50;4;0;9.300,00;;96800;7913;Wizz Air Hungary
05/08/2018 12.41;06/09/2018 16.07;14.905,00;0;14.905,00;5;11.625,00;0;;;7914;Scandinavian Airlines System
05/08/2018 12.49;10/09/2018 10.24;1.863,00;0;1.863,00;1;1.450,00;0;;;7915;Scandinavian Airlines System
05/08/2018 13.02;;0;7.546,56;7.546,56;4;0;5.800,00;;96801;7916;Vueling Airlines
05/08/2018 13.13;;0;6.056,56;6.056,56;2;0;4.650,00;;97220;7917;Norwegian Air Shuttle
05/08/2018 13.49;;0;12.000,00;12.000,00;4;0;9.300,00;;94356;7918;Norwegian Air Shuttle
05/08/2018 14.07;;5.589,00;1.851,00;7.440,00;4;5.589,00;211;;;7919;Scandinavian Airlines System
05/08/2018 14.08;;0;6.053,94;6.053,94;2;0;4.650,00;;96806;7920;DAT Danish Air Transport
05/08/2018 14.09;;0;5.684,92;5.684,92;3;0;4.350,00;;96802;7921;British Airways
05/08/2018 14.14;;0;9.406,15;9.406,15;5;0;7.250,00;;96888;7922;Vueling Airlines
05/08/2018 14.18;23/08/2018 10.03;1.813,66;46,34;1.860,00;1;1.450,00;0;;;7923;EasyJet
05/08/2018 14.21;;0;12.013,12;12.013,12;4;0;9.300,00;;97221;7924;Norwegian Air Shuttle
05/08/2018 14.45;;0;9.408,20;9.408,20;5;0;7.250,00;;96803;7925;Eurowings Aviation GmbH
05/08/2018 15.19;;0;17.979,69;17.979,69;4;0;13.940,00;;97222;7926;Norwegian Air Shuttle
05/08/2018 15.27;;0;3.822,46;3.822,46;2;0;2.900,00;;96889;7927;Eurowings Aviation GmbH
05/08/2018 15.27;;0;1.961,64;1.961,64;1;0;1.450,00;;96804;7928;Ryan Air Service
05/08/2018 15.29;;0;6.055,25;6.055,25;2;0;4.650,00;;96805;7929;Ryan Air Service
05/08/2018 16.09;;0;4.569,92;4.569,92;1;0;3.485,00;;97223;7930;Lufthansa
05/08/2018 16.13;;0;13.500,91;13.500,91;3;0;10.455,00;;96813;7931;DAT Danish Air Transport
05/08/2018 16.19;27/09/2018 11.26;9.277,17;22,83;9.300,00;5;7.250,00;0;;97037;7932;EasyJet
05/08/2018 16.49;;0;20.938,78;20.938,78;7;0;16.275,00;;96890;7933;Ryan Air Service
05/08/2018 16.58;;0;2.975,00;2.975,00;1;0;2.325,00;;97532;7934;SunExpress
05/08/2018 17.05;09/08/2018 16.13;0;13.395,00;13.395,00;3;0;10.455,00;;;7935;Delta Air Lines Inc.
05/08/2018 17.11;;0;3.720,00;3.720,00;2;0;2.900,00;;98213;7936;Ryan Air Service
05/08/2018 17.12;24/08/2018 13.28;0;0;0;2;0;;;;7937;Air Cairo
05/08/2018 17.36;;0;5.950,00;5.950,00;2;0;4.650,00;;98098;7938;Thomas Cook Airlines Scandinavia
05/08/2018 17.56;;0;1.961,23;1.961,23;1;0;1.450,00;;96891;7939;Scandinavian Airlines System
05/08/2018 18.08;;0;12.007,87;12.007,87;4;0;9.300,00;;96892;7940;Bulgaria Air
05/08/2018 18.14;06/09/2018 16.07;2.981,00;0;2.981,00;1;2.325,00;0;;;7941;Scandinavian Airlines System
05/08/2018 18.53;;0;6.060,50;6.060,50;2;0;4.650,00;;97674;7942;Thomas Cook Airlines
05/08/2018 19.00;;0;17.860,00;17.860,00;4;0;13.940,00;;;7943;Swiss International Air Lines
05/08/2018 19.10;;0;6.056,56;6.056,56;2;0;4.650,00;;97224;7944;Corendon Airlines
05/08/2018 19.29;;0;9.039,85;9.039,85;2;0;6.970,00;;97225;7945;Primera Air Scandinavia A/S
05/08/2018 19.54;;0;3.820,00;3.820,00;2;0;2.900,00;;97408;7946;Norwegian Air Shuttle
05/08/2018 20.06;;0;5.689,85;5.689,85;3;0;4.350,00;;97271;7947;Ryan Air Service
05/08/2018 20.13;;0;1.860,00;1.860,00;1;0;907,5;1;95471;7948;Norwegian Air Shuttle
05/08/2018 20.15;;0;2.665,74;2.665,74;1;0;1.450,00;;96473;7949;Norwegian Air Shuttle
05/08/2018 20.30;;0;9.410,26;9.410,26;5;0;7.250,00;;97226;7950;Eurowings Aviation GmbH
05/08/2018 20.32;;0;8.925,00;8.925,00;3;0;6.975,00;;98214;7951;Jet Time A/S
05/08/2018 20.38;;0;6.056,56;6.056,56;2;0;4.650,00;;97227;7952;Norwegian Air Shuttle
05/08/2018 20.40;;0;3.720,00;3.720,00;2;0;2.900,00;;98215;7953;Ryan Air Service
05/08/2018 20.59;;0;4.567,95;4.567,95;1;0;3.485,00;;96893;7954;Air France
05/08/2018 20.59;;0;6.056,56;6.056,56;2;0;4.650,00;;97228;7955;Vueling Airlines
05/08/2018 21.00;05/09/2018 18.19;0;1.860,00;1.860,00;1;0;1.450,00;;;7956;Regional Air Iceland
05/08/2018 21.00;;0;1.860,00;1.860,00;1;0;1.450,00;;;7957;KLM Royal Dutch Airlines
05/08/2018 21.18;;0;11.900,00;11.900,00;4;0;9.300,00;;98355;7958;DAT Danish Air Transport
05/08/2018 21.19;;0;3.075,00;3.075,00;1;0;2.325,00;;94435;7959;Norwegian Air Shuttle
05/08/2018 23.04;04/09/2018 11.12;7.407,22;32,78;7.440,00;4;5.800,00;0;;;7960;EasyJet
05/08/2018 23.15;;0;17.860,00;17.860,00;4;0;13.940,00;;;7961;Air Greenland
05/08/2018 23.38;10/09/2018 10.25;8.936,95;0;8.936,95;2;6.970,00;0;;;7962;Norwegian Air Shuttle
05/08/2018 23.54;;0;3.720,00;3.720,00;2;0;2.900,00;;;7963;Norwegian Air Shuttle
06/08/2018 02.12;18/09/2018 09.28;1.863,00;0;1.863,00;1;1.450,00;0;;;7964;Scandinavian Airlines System
06/08/2018 05.27;07/09/2018 09.49;0;3.720,00;3.720,00;2;0;2.900,00;;;7965;Ryan Air Service
06/08/2018 08.21;;0;7.544,92;7.544,92;4;0;5.800,00;;96894;7966;LOT Polish Airlines
06/08/2018 08.25;19/09/2018 11.12;0;11.267,38;11.267,38;6;0;8.700,00;;96895;7967;Ryan Air Service
06/08/2018 08.40;;0;7.543,28;7.543,28;4;0;5.800,00;;96973;7968;Ryan Air Service
06/08/2018 08.41;;0;3.086,15;3.086,15;1;0;2.325,00;;97675;7969;Air France
06/08/2018 08.55;;0;12.021,00;12.021,00;4;0;9.300,00;;97676;7970;Thomas Cook Airlines Scandinavia
06/08/2018 08.58;;0;2.764,92;2.764,92;1;0;1.450,00;;94499;7971;Lufthansa
06/08/2018 09.13;;0;3.786,15;3.786,15;1;0;2.325,00;;96444;7972;Turkish Airlines
06/08/2018 09.14;;0;3.786,15;3.786,15;1;0;2.325,00;;96443;7973;Wow Air
06/08/2018 09.14;07/09/2018 09.56;3.722,00;0;3.722,00;2;2.900,00;0;;;7974;Scandinavian Airlines System
06/08/2018 09.36;;0;12.026,25;12.026,25;4;0;9.300,00;;97533;7975;Thomas Cook Airlines
06/08/2018 09.37;;0;8.930,00;8.930,00;2;0;6.970,00;;98216;7976;KLM Royal Dutch Airlines
06/08/2018 09.39;;0;6.794,77;6.794,77;3;0;4.350,00;;94416;7977;EasyJet
06/08/2018 10.07;;0;5.950,00;5.950,00;2;0;4.650,00;;98217;7978;Primera Air Scandinavia A/S
06/08/2018 10.09;;0;4.832,31;4.832,31;2;0;2.900,00;;96442;7979;Eurowings Aviation GmbH
06/08/2018 10.26;29/09/2018 12.09;0;5.580,00;5.580,00;3;0;4.350,00;;98356;7980;Scandinavian Airlines System
06/08/2018 10.34;07/09/2018 14.57;0;11.900,00;11.900,00;4;0;9.300,00;;96441;7981;Ryan Air Service
06/08/2018 10.34;;0;5.581,74;5.581,74;1;0;3.485,00;;96439;7982;Norwegian Air Shuttle
06/08/2018 10.36;06/08/2018 13.58;0;5.950,00;5.950,00;2;0;4.650,00;;;7983;Wizz Air Hungary
06/08/2018 10.45;06/08/2018 13.11;0;8.930,00;8.930,00;2;0;6.970,00;;;7984;Delta Air Lines Inc.
06/08/2018 10.50;;0;3.720,00;3.720,00;2;0;2.900,00;;98218;7985;Ryan Air Service
06/08/2018 10.58;;0;3.720,00;3.720,00;2;0;2.900,00;;;7986;Scandinavian Airlines System
06/08/2018 11.02;;0;4.831,49;4.831,49;2;0;2.900,00;;96438;7987;Wizz Air Hungary
06/08/2018 11.03;;0;7.440,00;7.440,00;4;0;5.800,00;;;7988;Ryan Air Service
06/08/2018 11.08;;0;8.930,00;8.930,00;2;0;6.970,00;;;7989;Atlantic Airways
06/08/2018 11.12;;0;10.358,46;10.358,46;3;0;6.975,00;;96437;7990;Lufthansa
06/08/2018 11.18;;0;6.060,50;6.060,50;2;0;4.650,00;;97677;7991;Thomas Cook Airlines
06/08/2018 11.20;;0;3.786,15;3.786,15;1;0;2.325,00;;96435;7992;Air France
06/08/2018 11.27;;0;3.720,00;3.720,00;2;0;2.900,00;;98219;7993;Ryan Air Service
06/08/2018 11.30;;0;7.069,68;7.069,68;2;0;4.650,00;;96433;7994;Thomas Cook Airlines
06/08/2018 11.39;;0;9.040,75;9.040,75;3;0;6.975,00;;97678;7995;Thomas Cook Airlines
06/08/2018 12.02;;0;4.833,95;4.833,95;2;0;2.900,00;;96432;7996;Air France
06/08/2018 12.04;10/09/2018 10.25;1.864,00;0;1.864,00;1;1.450,00;0;;96431;7997;Scandinavian Airlines System
06/08/2018 12.05;;0;38.203,93;38.203,93;8;0;27.880,00;;96429;7998;Delta Air Lines Inc.
06/08/2018 12.10;;0;35.720,00;35.720,00;8;0;27.880,00;;;7999;BRUSSELS AIRLINES
06/08/2018 12.20;;0;4.833,95;4.833,95;2;0;2.900,00;;96428;8000;Ryan Air Service
